,Title,Artist,Release Year,Genius_Link
1019,Do You Believe in Magic,The Lovin' Spoonful,1965,https://genius.com/The-lovin-spoonful-do-you-believe-in-magic-lyrics
1020,All I Really Want to Do,Cher,1965,https://genius.com/Cher-all-i-really-want-to-do-lyrics
1021,Take Me Back,Little Anthony and the Imperials,1965,https://genius.com/Little-anthony-im-on-the-outside-looking-in-lyrics
1022,I Want Candy,The Strangeloves,1965,https://genius.com/The-strangeloves-i-want-candy-lyrics
1023,Ooo Baby Baby,The Miracles,1965,https://genius.com/Smokey-robinson-and-the-miracles-ooo-baby-baby-lyrics
1024,Laugh at Me,Sonny,1965,https://genius.com/Sonny-and-cher-laugh-at-me-lyrics
1025,Treat Her Right,Roy Head,1965,https://genius.com/Roy-head-treat-her-right-lyrics
1026,The Race Is On,Jack Jones,1965,https://genius.com/Jack-jones-the-race-is-on-lyrics
1027,I'm a Fool,"Dino, Desi & Billy",1965,https://genius.com/Dino-desi-and-billy-im-a-fool-lyrics
1028,The Boy from New York City,The Ad Libs,1965,https://genius.com/The-ad-libs-funk-soul-group-the-boy-from-new-york-city-lyrics
1029,Keep Searchin' (We'll Follow the Sun),Del Shannon,1965,https://genius.com/Del-shannon-keep-searchin-well-follow-the-sun-lyrics
1030,How Sweet It Is (To Be Loved by You),Marvin Gaye,1965,https://genius.com/Marvin-gaye-how-sweet-it-is-to-be-loved-by-you-lyrics
1031,California Dreamin',The Mamas & the Papas,1966,https://genius.com/The-mamas-and-the-papas-california-dreamin-lyrics
1032,96 Tears,? and the Mysterians,1966,https://genius.com/And-the-mysterians-96-tears-lyrics
1033,What Becomes of the Brokenhearted,Jimmy Ruffin,1966,https://genius.com/Jimmy-ruffin-what-becomes-of-the-brokenhearted-lyrics
1034,Last Train to Clarksville,The Monkees,1966,https://genius.com/The-monkees-last-train-to-clarksville-lyrics
1035,Reach Out I'll Be There,Four Tops,1966,https://genius.com/Rolling-stone-the-500-greatest-songs-of-all-time-2021-annotated
1036,These Boots Are Made for Walkin',Nancy Sinatra,1966,https://genius.com/Nancy-sinatra-these-boots-are-made-for-walkin-lyrics
1037,Cherish,The Association,1966,https://genius.com/The-association-cherish-lyrics
1038,Strangers in the Night,Frank Sinatra,1966,https://genius.com/Frank-sinatra-strangers-in-the-night-lyrics
1039,Kicks,Paul Revere & the Raiders,1966,https://genius.com/Paul-revere-and-the-raiders-kicks-lyrics
