,Year,anger_lyrics,disgust_lyrics,fear_lyrics,negative_lyrics,sadness_lyrics,positive_lyrics,joy_lyrics,trust_lyrics,anticipation_lyrics,surprise_lyrics,positive_stateofunion,trust_stateofunion,anticipation_stateofunion,joy_stateofunion,surprise_stateofunion,negative_stateofunion,disgust_stateofunion,fear_stateofunion,anger_stateofunion,sadness_stateofunion
35,1988,1.851882445999512,1.2456152241739598,2.131866087959186,3.1716135105965706,2.3220187058367627,6.01021766869243,4.676504698966287,2.4746582709859037,3.0505558493716407,1.6510292100780737,7.114147909967845,4.983922829581994,3.1752411575562705,2.4316720257234725,1.1856913183279743,3.114951768488746,0.6631832797427653,2.491961414790997,1.4469453376205788,1.1454983922829582
36,1990,1.9554938743676171,1.3048124640059398,1.9350769876823382,3.150329302623969,1.980992720700213,5.435117924315663,4.0021853120785575,2.056275245259411,2.2320162970003548,1.0386530540242276,6.470739881412735,4.7177107501933495,3.480278422273782,2.6295436968290797,1.0311936065996392,2.036607373034287,0.6187161639597835,1.7788089713843775,1.082753286929621,0.953854086104666
37,1991,1.369828030083243,0.9086193000066184,1.5925409837327154,2.725919019286192,1.7255967077633068,6.1413091143657725,4.708957493278946,2.8038259494194113,2.9277446065044925,1.1383914982277457,8.18407960199005,5.5721393034825875,2.9104477611940296,2.8358208955223883,0.7213930348258706,3.880597014925373,0.7213930348258706,2.9104477611940296,2.2139303482587063,1.4179104477611941
38,1992,1.4083736646670306,1.098231443992425,1.6451274001399974,2.8533900911006036,1.8029703528955239,6.010246341037045,4.620272054236408,2.576613121700784,2.6310169693522734,1.2707192031943955,6.106431852986217,4.498468606431853,3.2542113323124044,2.0290964777947935,0.8614088820826952,3.0819295558958655,0.7274119448698315,1.8759571209800918,1.3016845329249618,1.110260336906585
39,1994,1.8902857366092933,1.2273658014779927,2.0331428726421543,3.6015113816816777,2.259642735419909,5.711321912664957,4.1790691428406594,2.3578592825684304,1.95226665925343,0.9974971975044541,6.002385053663708,4.5713528554392475,2.570557837551345,1.762289651517159,0.9540214654829734,3.0078176758977078,0.7950178879024778,1.9477938253610705,1.3780310056976282,1.417781900092752
40,1995,1.6741007059208302,1.0865810671555616,1.6808124332937875,2.8188645919831696,1.8343937870727116,5.764751511932515,4.355817853145739,2.4300067141715327,2.677353788279601,1.4052787014315495,5.381261299585239,3.860470062745932,2.3184090183983836,1.7547591194299692,0.7976177815590769,3.1372966074657027,0.6912687440178666,1.9461873870041477,1.1485696054450707,1.1911092204615548
41,1996,1.5104754794260518,1.0950725070011225,1.8269601667202306,3.056882953750536,1.9298615276034776,5.566153534415958,4.24905259405383,2.563854457977548,3.0352246152411535,1.6873068688795727,6.244175209692451,4.644299471885679,2.60950605778192,2.174588381484933,0.9164336750543647,3.7744641192917054,1.211556383970177,2.60950605778192,1.9881950916433675,1.1649580615097856
42,1997,1.6103284453788091,1.2030620493987798,1.7698668913401827,3.1448267627183144,1.8088701250154355,5.7724285282951,4.117469144029558,2.479219206662145,2.6080181911775955,1.6693045242897973,7.4409104172745835,5.048147067405894,3.166034432448205,2.49489349285089,1.0358914502480303,2.8742340239276336,0.8462211847096587,1.9404727166618032,1.2839217974905166,1.0213014298220018
43,1998,1.9689158368650905,1.3122908866987408,1.9298991984433922,3.2696591314391728,1.8128568685609878,4.813702026053471,3.417093292846579,1.9773813584970357,2.5443933416222255,1.361043400135023,7.085237967195483,4.907233127184727,3.0518956708792686,2.4737832750739446,1.0083355740790536,2.836784081742404,0.9007797795106212,1.7074482387738639,1.2234471632159183,1.2100026888948643
44,1999,1.8908513794174513,1.3173100268390536,1.8768826759570116,3.370895856613511,2.09119506874662,5.066524260680285,3.873945449394892,2.527961467815194,2.639542854913371,1.4007345166302274,6.725222863135816,5.178290508652333,2.7399056109071838,2.320398531725223,1.0225485055060304,2.962768746722601,0.8521237545883588,2.136864184583115,1.1143156790770845,1.3633980073413738
45,2000,1.3968846917880269,0.834905313943788,1.5148782621687673,2.707839076493102,1.8986529345487808,5.145408037247094,3.963573718572672,2.341573276147248,2.264890649163989,1.2222897327292086,7.191374663072776,4.420485175202157,3.1590296495956878,2.501347708894879,1.3477088948787064,2.9326145552560647,0.8194070080862533,1.9191374663072778,1.4555256064690028,1.4986522911051212
46,2002,1.6194181820107922,1.227672395584592,1.9711500060607674,3.242470130760379,1.9257599385578406,5.0098137658854025,3.5866246580247223,2.365276868435056,2.488718685133915,1.4723042211158222,8.126934984520123,5.985552115583075,3.740970072239422,2.8121775025799796,1.5479876160990713,4.721362229102167,1.4705882352941175,4.102167182662539,2.1671826625387,2.1671826625387
47,2003,1.7338592485036992,1.2456392777788543,1.798553593007587,3.1946629799608766,1.8916777811618535,4.675747275083325,3.1195784917597096,2.2551611308629056,2.24006795036074,1.1550723325029808,6.89908256880734,4.935779816513762,3.0825688073394497,2.4403669724770642,1.0825688073394495,4.990825688073394,1.3577981651376148,4.3119266055045875,2.5504587155963305,2.220183486238532
48,2004,2.0017420819683998,1.3883170435494319,1.79261682985763,3.4673402856977584,1.7747879876545973,4.17557390810424,2.831018713463528,1.9431507561982875,2.258424613554423,1.487165586143412,7.592521938191529,5.684853109500191,3.0331934376192295,2.479969477298741,0.972911102632583,4.2541014879816865,1.0492178557802367,3.071346814193056,1.9267455169782524,1.755055322396032
49,2005,1.8186918815257334,1.2045408059483587,1.6107687458476319,3.148641529172045,1.6789059496975447,4.187273041772672,2.6717942074736682,2.0375025497415096,2.0688796518145973,1.3147172580094222,8.134532655455612,6.824403597966366,3.6566288619475946,3.226437231130231,1.2319123973406336,3.7348455220962062,0.9777082518576458,3.1286664059444664,1.5252248728979272,1.583887368009386
50,2006,1.7065928366849594,1.2589117262265526,1.5637846556719728,3.303450285655168,1.5988381459984762,4.135442088581759,2.4685470804113585,2.1994473527354255,2.0198699293077778,1.1710554832412485,8.123719023663128,5.813303521520403,3.2234022731507364,3.1116079746599588,1.7887087758524316,4.56493385504006,1.5837525619526738,3.2792994223961243,2.3663126513881125,2.1613564374883545
51,2007,1.8530037193800761,1.1933871466585617,1.7274527003912807,3.3826515686252914,1.8386907814760152,4.072106667931279,2.526886360211465,2.0086791905378463,2.1366981738251187,1.2001509168412436,7.079646017699115,4.95575221238938,2.9911504424778763,2.566371681415929,1.2212389380530975,4.106194690265487,1.1858407079646016,3.4159292035398225,2.0530973451327434,1.9292035398230087
